Time (seconds),Distance (miles),Heartrate (bpm),Speed (mph),Altitude (ft),Latitude,Longitude,Slope,Temperature (deg C),Run Cadence
﻿0,0,78,5.3064,94.2,0,0,0,26,56.5
1,0.00148,79,5.3064,94.2,0,0,0,26,0
2,0.00322667,79.5,5.8722,94.3667,0,0,9.54198,26,13.8333
3,0.00497333,80,6.438,94.5333,0,0,9.54198,26,27.6667
4,0.00672,80.5,7.0038,94.7,0,0,9.54198,26,41.5
5,0.00846667,81,7.5696,94.8667,0,0,9.54198,26,55.3333
6,0.0102133,81.5,8.1354,95.0333,0,0,9.54198,26,69.1667
7,0.01196,82,8.7012,95.2,0,0,9.54198,26,83
8,0.014535,86.5,9.036,95.4,0,0,7.76699,26,82.75
9,0.01711,91,9.3708,95.6,0,0,7.76699,26,82.5
10,0.01976,91,9.54,95.8,0,0,8.03331,26,82.5
11,0.0224733,95.3333,9.6516,95.9333,0,0,8.52471,26,82.5
12,0.0251867,99.6667,9.7632,96.0667,0,0,8.06191,26,82.5
13,0.0279,104,9.8748,96.2,0,0,7.59911,26,82.5
14,0.03065,104,9.9108,96.4,0,0,7.37218,26,83.5
15,0.0334533,107,9.9996,96.6,0,0,7.13142,26,84.6667
16,0.0362567,110,10.0884,96.8,0,0,6.89066,26,85.8333
17,0.03906,113,10.1772,97,0,0,6.6499,26,87
18,0.04192,119,10.278,97.2,0,0,6.5725,26,88
19,0.04481,126,10.4148,97.4,0,0,6.48784,26,88
20,0.04773,126,10.5156,97.8,0,0,7.10299,26,86
21,0.05067,128,10.5642,98.1,0,0,7.632,26,86
22,0.05361,130,10.6128,98.4,0,0,8.161,26,86
23,0.0565633,131.333,10.6128,98.6667,0,0,8.57254,26,85.3333
24,0.0595167,132.667,10.6128,98.9333,0,0,8.7482,26,84.6667
25,0.06247,134,10.6128,99.2,0,0,8.9377,26,84
26,0.06542,134,10.6128,99.6,34.01909314,-118.4065757,9.58019,26,84
27,0.06837,139,10.6128,99.8,34.01912088,-118.4065853,9.54472,26,84
28,0.07132,144,10.6128,100,34.01912088,-118.4065853,9.52339,26,84
29,0.07313,145.667,10.6356,100.067,34.01910437,-118.4066141,9.19967,26,84.3333
30,0.07494,147.333,10.6584,100.133,34.01908786,-118.4066429,8.19813,26,84.6667
31,0.07675,149,10.6812,100.2,34.01907135,-118.4066717,7.54605,26,85
32,0.07924,152,10.6812,100.4,34.01906011,-118.4066958,7.32885,26,85
33,0.08279,152,10.6812,100.6,34.019041,-118.4067266,6.9893,26,84.5
34,0.08608,152,10.7496,100.6,34.01902206,-118.406754,6.08636,26,84.5
35,0.08852,157,10.7496,100.8,34.01900907,-118.4067758,6.0031,26,83.5
36,0.09175,157,10.7136,101,34.01898862,-118.4068007,5.26636,26,83.5
37,0.094925,157,10.7136,101.3,34.01897001,-118.406827,5.53328,26,83.5
38,0.0981,157,10.7136,101.6,34.0189514,-118.4068532,5.8002,26,83.5
39,0.10058,150,10.7136,101.8,34.01894193,-118.4068775,6.23832,26,83.5
40,0.10254,144,10.6128,101.8,34.01893346,-118.4068965,5.87,26,84
41,0.10411,141,10.3788,101.8,34.01892491,-118.4069101,5.50168,26,85
42,0.10511,136,10.1124,101.8,34.01891963,-118.4069195,4.69846,26,85.5
43,0.10572,134,7.4232,101.6,34.01891511,-118.4069235,0.856394,26,85.5
44,0.106,132,6.012,101.4,34.01891251,-118.406923,-2.42229,26,85.5
45,0.106035,130.5,3.006,101,34.01891343,-118.4069206,-6.52066,26,42.75
46,0.10607,129,0,100.6,34.01891435,-118.4069181,-10.4185,26,0
47,0.106155,127.5,0,100.2,34.01891523,-118.4069164,-14.6421,26,0
48,0.10624,126,0,99.8,34.01891611,-118.4069146,-18.8657,26,0
49,0.10651,124,0,99.2,34.01891486,-118.4069121,-22.9508,26,0
50,0.106515,122.5,0,98.6,34.01891507,-118.4069119,-26.2295,26,0
51,0.10652,121,0,98,34.01891527,-118.4069117,-29.5082,26,0
52,0.10662,119.5,0,97.4,34.01891431,-118.4069118,-32.7869,26,0
53,0.10672,118,0,96.8,34.01891335,-118.406912,-32.7869,26,0
54,0.10673,117,0,96.3333,34.01891377,-118.406912,-32.7869,26,0
55,0.10674,116,0,95.8667,34.01891419,-118.406912,-32.7869,26,0
56,0.10675,115,0,95.4,34.0189146,-118.406912,-32.7869,26,0
57,0.108104,114.6,0.74592,95.16,34.01890456,-118.4069037,-31.2807,26,0
58,0.109458,114.2,1.49184,94.92,34.01889452,-118.4068954,-29.7746,26,0
59,0.110812,113.8,2.23776,94.68,34.01888448,-118.4068871,-28.2684,26,0
60,0.112166,113.4,2.98368,94.44,34.01887444,-118.4068788,-26.7622,26,0
61,0.11352,113,3.7296,94.2,34.0188644,-118.4068706,-25.2561,26,0
62,0.116735,116,7.3062,94.2,34.01883929,-118.4068531,-21.9774,26,42.25
63,0.11995,119,10.8828,94.2,34.01881419,-118.4068357,-18.6987,26,84.5
64,0.12345,130,11.4552,94.4,34.01878728,-118.4068158,-14.8486,26,84.5
65,0.12703,130,11.6568,94.4,34.01876038,-118.4067944,-11.5699,26,84.5
